Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,Julie N.,"Location: United States, Portland, Maine, Owner: NA",1996-09-27,,586,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,San Jorge oil spill,"Location: Uruguay, near Punta del Este, Maldonado, Owner: Oil Sud Corporation",1997-02-08,,200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Sea Empress,"Location: United Kingdom, Milford Haven, Pembrokeshire, Owner: Seatankers Management",1996-02-15,,56000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,North Cape,"Location: United States, Rhode Island, Owner: NA",1996-01-19,,2500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MV Iron Baron (1985),"Location: Hebe Reef, Tasmania, Owner: BHP Shipping",1995-07-10,1995-07-30,312.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Irene,"Location: Namibia, near Walvis Bay, Owner: NA",1995,,700,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Komi oil pipeline,"Location: Russia, Usinsk, Komi Republic, Owner: Lukoil",June 1994,October 1994,175881.5,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Apollo Sea,"Location: South Africa, Cape Town, Owner: NA",June 1994,,2400,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Seki,"Location: United Arab Emirates, Owner: World-Wide Shipping Agency",1994-03-31,,15900,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Morris J. Berman,"Location: Puerto Rico, Owner: New England Marine Services",1994-01-07,,2600,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MV Braer,"Location: United Kingdom, Shetland, Owner: NA",1993-01-05,,85000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Aegean Sea,"Location: Spain, A Coruña, Owner: Coulouthros Ltd",1992-12-03,,74000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,"Port Bonython oil spill, Era","Location: Australia, Spencer Gulf, South Australia, Owner: BP",1992-08-30,,296,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Katina P,"Location: Mozambique, Maputo, Owner: NA",19-26 April 1992,,72000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Fergana Valley,"Location: Uzbekistan, Owner: NA",1992-03-02,,285000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Kirki,"Location: Australia, Indian Ocean, off the coast of Western Australia, Owner: BP",1991-07-21,,17280,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,ABT Summer,"Location: Angola, 700 nmi (1,300 km; 810 mi) offshore, Owner: National Iranian Tanker Company",1991-05-28,,260000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MT Haven,"Location: Italy, Mediterranean Sea near Genoa, Owner: Amoco",1991-04-11,,144000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,MB Vesta Bella,"Location: , Saint Kitts and Nevis, Nevis, 12 miles northeast of island, Owner: Offshore Marine Ltd",1991-03-06,,1788,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Sanko Harvest,"Location: Australia, Western Australia, near Hood Island, 33 km from Esperance, Owner: Sanko Steamship Co",1991-02-14,,717,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Gulf War oil spill,"Location: Iraq, Persian Gulf, Owner: NA",1991-01-23,,545000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
